iter	Passed	Remaining
0	12	3755
1	23	3567
2	32	3238
3	41	3107
4	49	2912
5	58	2860
6	66	2783
7	75	2747
8	82	2674
9	91	2639
10	98	2595
11	106	2556
12	114	2534
13	123	2515
14	131	2499
15	138	2464
16	146	2439
17	155	2434
18	163	2413
19	171	2396
20	179	2385
21	187	2366
22	195	2350
23	202	2331
24	210	2310
25	217	2289
26	224	2268
27	231	2252
28	239	2233
29	246	2216
30	254	2204
31	261	2193
32	269	2179
33	276	2162
34	283	2146
35	291	2136
36	299	2125
37	306	2111
38	313	2100
39	321	2090
40	330	2086
41	337	2075
42	347	2074
43	354	2064
44	363	2061
45	372	2057
46	383	2063
47	392	2059
48	402	2059
49	410	2053
50	420	2051
51	431	2056
52	439	2046
53	448	2041
54	455	2030
55	464	2022
56	473	2018
57	481	2010
58	490	2002
59	499	1996
60	506	1986
61	514	1975
62	522	1967
63	531	1958
64	539	1949
65	547	1942
66	555	1932
67	563	1923
68	571	1914
69	579	1903
70	587	1894
71	594	1882
72	603	1875
73	610	1865
74	618	1856
75	626	1846
76	633	1834
77	641	1825
78	649	1816
79	657	1807
80	665	1799
81	674	1793
82	683	1786
83	695	1787
84	704	1781
85	714	1776
86	723	1772
87	734	1770
88	745	1766
89	752	1756
90	761	1749
91	770	1742
92	781	1738
93	791	1734
94	801	1729
95	813	1728
96	823	1723
97	833	1717
98	842	1709
99	857	1715
100	869	1712
101	883	1715
102	892	1707
103	902	1699
104	910	1690
105	918	1681
106	926	1670
107	934	1660
108	941	1650
109	949	1639
110	957	1630
111	965	1621
112	974	1612
113	983	1604
114	991	1594
115	1000	1586
116	1008	1577
117	1016	1568
118	1025	1559
119	1034	1552
120	1043	1543
121	1051	1534
122	1060	1525
123	1068	1516
124	1076	1506
125	1084	1497
126	1092	1488
127	1100	1478
128	1107	1467
129	1114	1457
130	1121	1446
131	1129	1437
132	1137	1428
133	1144	1417
134	1152	1408
135	1159	1397
136	1166	1387
137	1173	1377
138	1181	1368
139	1189	1359
140	1197	1350
141	1207	1343
142	1217	1336
143	1227	1329
144	1237	1322
145	1247	1315
146	1257	1308
147	1265	1299
148	1275	1292
149	1283	1283
150	1292	1275
151	1298	1264
152	1305	1254
153	1313	1245
154	1320	1234
155	1326	1224
156	1333	1214
157	1340	1204
158	1348	1195
159	1355	1185
160	1362	1176
161	1370	1167
162	1377	1157
163	1386	1149
164	1393	1139
165	1399	1130
166	1406	1120
167	1415	1111
168	1421	1102
169	1429	1093
170	1436	1083
171	1444	1074
172	1451	1065
173	1458	1056
174	1468	1049
175	1476	1040
176	1483	1031
177	1492	1023
178	1499	1013
179	1506	1004
180	1515	996
181	1523	988
182	1537	982
183	1548	976
184	1559	969
185	1566	960
186	1574	951
187	1584	943
188	1590	934
189	1599	926
190	1610	918
191	1617	909
192	1625	901
193	1634	893
194	1644	885
195	1654	877
196	1662	869
197	1669	860
198	1676	850
199	1683	841
200	1689	832
201	1696	823
202	1703	814
203	1711	805
204	1719	796
205	1727	788
206	1735	779
207	1742	770
208	1749	761
209	1756	752
210	1764	744
211	1771	735
212	1778	726
213	1785	717
214	1792	708
215	1799	699
216	1808	691
217	1817	683
218	1825	675
219	1833	666
220	1842	658
221	1850	650
222	1861	642
223	1917	650
224	1931	643
225	1952	639
226	1964	631
227	1974	623
228	1982	614
229	1994	606
230	2002	598
231	2010	589
232	2017	580
233	2024	570
234	2032	562
235	2039	553
236	2046	544
237	2055	535
238	2064	526
239	2070	517
240	2078	508
241	2085	499
242	2092	490
243	2100	482
244	2108	473
245	2117	464
246	2124	455
247	2132	447
248	2138	438
249	2145	429
250	2153	420
251	2162	411
252	2169	403
253	2176	394
254	2184	385
255	2191	376
256	2199	367
257	2207	359
258	2215	350
259	2222	341
260	2229	333
261	2236	324
262	2243	315
263	2250	306
264	2258	298
265	2266	289
266	2274	281
267	2282	272
268	2290	263
269	2297	255
270	2304	246
271	2312	238
272	2318	229
273	2326	220
274	2333	212
275	2340	203
276	2348	194
277	2356	186
278	2363	177
279	2370	169
280	2376	160
281	2383	152
282	2389	143
283	2396	135
284	2403	126
285	2409	117
286	2416	109
287	2422	100
288	2429	92
289	2436	84
290	2442	75
291	2450	67
292	2457	58
293	2464	50
294	2471	41
295	2478	33
296	2485	25
297	2492	16
298	2500	8
299	2508	0
